sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	NCBI:txid2495212	Sceliphron spirifex			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid1226120	Agalenatea redii (Scopoli, 1763)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	dead				France, Draguignan					1869-05-18		https://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/Lucas_H_1869_Pelopaeus_spirifex.pdf	Lucas, H. (1869). Un mot sur le Pelopaeus spirifex et sur les Aranéides déstinées à servir de nourriture aux larves de cet Hyménoptère de la famille des Sphégides. Annales de la Société Entomologique de France (Série 4) 9: 427-429.
	NCBI:txid253855	Sceliphron caementarium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002439	preys on		ITIS:871575	Agelenopsis			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	dead				Mexico, Tabasco	17.633333	-92.933333		20	2002-08/2003-07		http://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/PerezDeLaCruz_CruzPerez_2010_Sceliphron_caementarium.pdf	Perez-De la Cruz, M. and Perez-De la Cruz, A. 2010. Composición de arañas en nidos de Sceliphron caementarium (Drury) (Hymenoptera: Sphecidae) en Tabasco, México. Boletin del Museo de Entomología de la Universidad del Valle 11: 10-15.
	NCBI:txid253855	Sceliphron caementarium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002439	preys on		ITIS:871575	Agelenopsis					http://purl.obolibrary.org/obo/PATO_0001422	dead				India, West Bengal, Puruliya	23.2	86.25					https://issuu.com/questjournals/docs/a340109	Chatterjee, N. (2015). The chronicle pertaining to the nests of the natural Arachnidicide Sceliphron caementarium (mud dauber) collected from four different districts of West Bengal, India. Journal of Research in Agriculture and Animal Science 3: 1–9.
	NCBI:txid253855	Sceliphron caementarium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002439	preys on		ITIS:871575	Agelenopsis					http://purl.obolibrary.org/obo/PATO_0001422	dead				India, West Bengal, Bankura	23.14	87.07					https://issuu.com/questjournals/docs/a340109	Chatterjee, N. (2015). The chronicle pertaining to the nests of the natural Arachnidicide Sceliphron caementarium (mud dauber) collected from four different districts of West Bengal, India. Journal of Research in Agriculture and Animal Science 3: 1–9.
	NCBI:txid253855	Sceliphron caementarium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002439	preys on		ITIS:871575	Agelenopsis					http://purl.obolibrary.org/obo/PATO_0001422	dead				India, West Bengal, Jalpaiguri	26.32	88.46					https://issuu.com/questjournals/docs/a340109	Chatterjee, N. (2015). The chronicle pertaining to the nests of the natural Arachnidicide Sceliphron caementarium (mud dauber) collected from four different districts of West Bengal, India. Journal of Research in Agriculture and Animal Science 3: 1–9.
	NCBI:txid2495211	Sceliphron destillatorium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0008505	creates habitat for		NCBI:txid1294195	Agenioideus cinctellus (Spinola, 1808)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	alive				Crimea						10.1134/S001387381403004X	https://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/Fateryga_Kovblyuk_2014_English.pdf	Fateryga, AV. and Kovblyuk, МM. (2014).Nesting ecology of the wasps Sceliphron destillatorium (Illiger, 1807) (Hymenoptera, Sphecidae) in the Crimea. Entomological Review 9: 330-336.
	NCBI:txid253855	Sceliphron caementarium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid4679	Allium cepa L.	http://purl.obolibrary.org/obo/PO_0009046	flower			http://purl.obolibrary.org/obo/PATO_0001422	alive				USA, Utah, Logan					1957/1958		http://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/Bohart_G_et_al_1970_Onion_Pollination.pdf	Bohart, GE., Nye, WP. and Hawthorn, LR. (1970). Onion pollination as affected by different levels of pollinator activity. Bulletin. Utah Agricultural Experimental Station. Utah State University No. 482: 1-57.
	NCBI:txid2495211	Sceliphron destillatorium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid4679	Allium cepa L.	http://purl.obolibrary.org/obo/PO_0009046	flower			http://purl.obolibrary.org/obo/PATO_0001422	alive				Hungary					1905-05-20		https://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/Benedek_1975.pdf	Benedek, P. (1975). Virágzó vöröshagyma táblákat látogató hártyásszárnyú rovarok (Hymenoptera) faji megoszlása, pollengyűjtése és táplálkozási kapcsolatai – Specific structure and pollen gathering of hymenopterous visitors of blooming seed onion fields and their food plant relationships. Rovartani Közlemények (= Folia Entomologica Hungarica) (Series Nova) 28: 249-261.
	NCBI:txid2495212	Sceliphron spirifex			http://purl.obolibrary.org/obo/UBERON_0002548	larva	http://purl.obolibrary.org/obo/PATO_0001422	dead	http://purl.obolibrary.org/obo/RO_0002209	has parasitoid		NCBI:txid2083386	Allocoelia capensis (Smith, 1874)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	alive												Madl M, Rosa P (2012) A Catalogue of the Chrysididae (Hymenoptera: Chrysidoidea) of the Ethiopian Region excluding Malagasy Subregion. Linzer biologische Beiträge 44(1): 5-169.
	NCBI:txid253855	Sceliphron caementarium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0008505	creates habitat for		ITIS:762554	Amegilla albigena (Lepeletier, 1841)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	alive				Italy, Romagna							http://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/Campadelli_et_al_1999_Sceliphron_caementarium_parasitoids.pdf	Campadelli, G., Pagliano, G., Scaramozzino, PL. and Strumia, F. (1999). Parassitoidi e inquilini di Sceliphron caementarium (Drury, 1773) (Hymenoptera: Sphecidae) in Romagna. Bollettino. Museo Regionale di Scienze Naturali Torino 16: 225-240.
